time,taxonomy,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,dropout_length
1645468852,normal,a0f7db,41.40234375,-78.69357022372162,,,,,False,False,False,,1036.3200000000002,,1645468851.895,1645468851.895,
1645468853,normal,a0f7db,41.40234375,-78.69357022372162,,,,,False,False,False,,1036.3200000000002,,1645468851.895,1645468851.895,0.0
1645468854,normal,a0f7db,41.40229797363281,-78.69456898082387,,,,,False,False,False,,1036.3200000000002,,1645468853.833,1645468853.833,1.937999963760376
1645468855,normal,a0f7db,41.40229797363281,-78.69456898082387,,,,,False,False,False,,1036.3200000000002,,1645468853.833,1645468853.833,0.0
1645468856,normal,a0f7db,41.40229797363281,-78.69456898082387,40.64433184426719,269.2747757009407,2.60096,,False,False,False,,1036.3200000000002,1059.18,1645468853.833,1645468855.416,1.5829999446868896
1645468857,normal,a0f7db,41.40229797363281,-78.69456898082387,40.64433184426719,269.2747757009407,2.60096,,False,False,False,,1036.3200000000002,1059.18,1645468853.833,1645468855.416,0.0
1645468858,normal,a0f7db,41.40229797363281,-78.69456898082387,40.64433184426719,269.2747757009407,2.60096,,False,False,False,,1036.3200000000002,1059.18,1645468853.833,1645468855.416,0.0
1645468859,normal,a0f7db,41.40229797363281,-78.69456898082387,40.64433184426719,269.2747757009407,2.60096,,False,False,False,,1036.3200000000002,1059.18,1645468853.833,1645468855.416,0.0
1645468860,normal,a0f7db,41.40229797363281,-78.69456898082387,40.64433184426719,269.2747757009407,2.60096,,False,False,False,,1036.3200000000002,1059.18,1645468853.833,1645468855.416,0.0
1645468861,normal,a0f7db,41.40229797363281,-78.69456898082387,40.64433184426719,269.2747757009407,2.60096,,False,False,False,,1036.3200000000002,1059.18,1645468853.833,1645468855.416,0.0
1645468862,normal,a0f7db,41.40229797363281,-78.69456898082387,40.64433184426719,269.2747757009407,2.60096,,False,False,False,,1036.3200000000002,1059.18,1645468853.833,1645468855.416,0.0
1645468863,normal,a0f7db,41.40229797363281,-78.69456898082387,40.64433184426719,269.2747757009407,2.60096,,False,False,False,,1036.3200000000002,1059.18,1645468853.833,1645468855.416,0.0
1645468864,normal,a0f7db,41.40229797363281,-78.69456898082387,40.64433184426719,269.2747757009407,2.60096,,False,False,False,,1036.3200000000002,1059.18,1645468853.833,1645468855.416,0.0
1645468865,normal,a0f7db,41.40229797363281,-78.69456898082387,40.64433184426719,269.2747757009407,2.60096,,False,False,False,,1036.3200000000002,1059.18,1645468853.833,1645468855.416,0.0
1645468866,normal,a0f7db,41.40229797363281,-78.69456898082387,39.66560071666027,267.0262689175199,2.60096,,False,False,False,,1036.3200000000002,1036.3200000000002,1645468853.833,1645468865.517,10.1010000705719
1645468867,normal,a0f7db,41.40229797363281,-78.69456898082387,39.695613786358614,266.2847108945712,2.27584,,False,False,False,,1036.3200000000002,1043.94,1645468853.833,1645468866.677,1.1600000858306885
1645468868,normal,a0f7db,41.40229797363281,-78.69456898082387,39.695613786358614,266.2847108945712,2.27584,,False,False,False,,1036.3200000000002,1043.94,1645468853.833,1645468866.677,0.0
1645468869,normal,a0f7db,41.40220642089844,-78.70156028053977,39.313755279217986,263.99099404250546,1.6256000000000002,,False,False,False,,1066.8,1074.4199999999998,1645468868.493,1645468868.493,1.815999984741211
1645468870,normal,a0f7db,41.40220642089844,-78.70156028053977,39.313755279217986,263.99099404250546,1.6256000000000002,,False,False,False,,1066.8,1074.4199999999998,1645468868.493,1645468868.493,0.0
1645468871,normal,a0f7db,41.40220642089844,-78.70156028053977,39.313755279217986,263.99099404250546,1.6256000000000002,,False,False,False,,1066.8,1074.4199999999998,1645468868.493,1645468868.493,0.0
1645468872,normal,a0f7db,41.40220642089844,-78.70156028053977,39.313755279217986,263.99099404250546,1.6256000000000002,,False,False,False,,1066.8,1074.4199999999998,1645468868.493,1645468868.493,0.0
1645468873,normal,a0f7db,41.40220642089844,-78.70156028053977,39.313755279217986,263.99099404250546,1.6256000000000002,,False,False,False,,1066.8,1074.4199999999998,1645468868.493,1645468868.493,0.0
1645468874,normal,a0f7db,41.40220642089844,-78.70156028053977,39.313755279217986,263.99099404250546,1.6256000000000002,,False,False,False,,1066.8,1074.4199999999998,1645468868.493,1645468868.493,0.0
1645468875,normal,a0f7db,41.40220642089844,-78.70156028053977,39.313755279217986,263.99099404250546,1.6256000000000002,,False,False,False,,1066.8,1074.4199999999998,1645468868.493,1645468868.493,0.0
1645468876,normal,a0f7db,41.40220642089844,-78.70156028053977,39.313755279217986,263.99099404250546,1.6256000000000002,,False,False,False,,1066.8,1074.4199999999998,1645468868.493,1645468868.493,0.0
1645468877,normal,a0f7db,41.40220642089844,-78.70156028053977,39.313755279217986,263.99099404250546,1.6256000000000002,,False,False,False,,1066.8,1074.4199999999998,1645468868.493,1645468868.493,0.0
1645468878,normal,a0f7db,41.40220642089844,-78.70156028053977,39.313755279217986,263.99099404250546,1.6256000000000002,,False,False,False,,1066.8,1074.4199999999998,1645468868.493,1645468868.493,0.0
1645468879,normal,a0f7db,41.40220642089844,-78.70156028053977,39.313755279217986,263.99099404250546,1.6256000000000002,,False,False,False,,1066.8,1074.4199999999998,1645468868.493,1645468868.493,0.0
1645468880,normal,a0f7db,41.40220642089844,-78.70156028053977,39.313755279217986,263.99099404250546,1.6256000000000002,,False,False,False,,1066.8,1074.4199999999998,1645468868.493,1645468868.493,0.0
1645468881,normal,a0f7db,41.40220642089844,-78.70156028053977,39.313755279217986,263.99099404250546,1.6256000000000002,,False,False,False,,1066.8,1074.4199999999998,1645468868.493,1645468868.493,0.0
1645468882,normal,a0f7db,41.40220642089844,-78.70156028053977,39.313755279217986,263.99099404250546,1.6256000000000002,,False,False,False,,1066.8,1074.4199999999998,1645468868.493,1645468868.493,0.0
1645468883,normal,a0f7db,41.40220642089844,-78.70156028053977,39.313755279217986,263.99099404250546,1.6256000000000002,,False,False,False,,1066.8,1074.4199999999998,1645468868.493,1645468868.493,0.0
1645468884,normal,a0f7db,41.40220642089844,-78.70156028053977,39.313755279217986,263.99099404250546,1.6256000000000002,,False,False,False,,1066.8,1074.4199999999998,1645468868.493,1645468868.493,0.0
1645468885,normal,a0f7db,41.40220642089844,-78.70156028053977,39.313755279217986,263.99099404250546,1.6256000000000002,,False,False,False,,1066.8,1074.4199999999998,1645468868.493,1645468868.493,0.0
