time,epoch_time,taxonomy,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,dropout_length,mean,stdev,stdev_zscore,sma_window_size,sma,snr_rolling,mode,mode_dev,mode_dev_zscore
0,1645229867,normal,0d02a8,30.18530894134004,-95.45196533203125,145.94713719703776,173.72671649091603,12.679680000000001,XBCAF   ,False,False,False,,3596.6400000000003,2926.0800000000004,1645229866.313,1645229866.313,,84.47483535703711,7874.008405508666,,10,,nan,1.0369999408721924,13440.51254502184,
1,1645229868,normal,0d02a8,30.18530894134004,-95.45196533203125,145.94713719703776,173.72671649091603,12.679680000000001,XBCAF   ,False,False,False,,3596.6400000000003,2926.0800000000004,1645229866.313,1645229866.313,0.0,84.47483535703711,7874.008405508666,-0.01072891168893631,10,,nan,1.0369999408721924,13440.51254502184,-7.715479133690338e-05
2,1645229869,normal,0d02a8,30.18530894134004,-95.45196533203125,145.94713719703776,173.72671649091603,12.679680000000001,XBCAF   ,False,False,False,,3596.6400000000003,2926.0800000000004,1645229866.313,1645229866.313,0.0,84.47483535703711,7874.008405508666,-0.01072891168893631,10,,0.0,1.0369999408721924,13440.51254502184,-7.715479133690338e-05
3,1645229870,normal,0d02a8,30.18530894134004,-95.45196533203125,145.94713719703776,173.72671649091603,12.679680000000001,XBCAF   ,False,False,False,,3596.6400000000003,2926.0800000000004,1645229866.313,1645229866.313,0.0,84.47483535703711,7874.008405508666,-0.01072891168893631,10,,0.0,1.0369999408721924,13440.51254502184,-7.715479133690338e-05
4,1645229871,normal,0d02a8,30.18530894134004,-95.45196533203125,145.94713719703776,173.72671649091603,12.679680000000001,XBCAF   ,False,False,False,,3596.6400000000003,2926.0800000000004,1645229866.313,1645229866.313,0.0,84.47483535703711,7874.008405508666,-0.01072891168893631,10,,0.0,1.0369999408721924,13440.51254502184,-7.715479133690338e-05
5,1645229872,normal,0d02a8,30.18530894134004,-95.45196533203125,146.40338719133348,173.94884155460707,12.679680000000001,XBCAF   ,False,False,False,,3596.6400000000003,3688.0800000000004,1645229866.313,1645229871.122,4.809000015258789,84.47483535703711,7874.008405508666,-0.010118134097506452,10,,0.0,1.0369999408721924,13440.51254502184,0.0002806440648562683
6,1645229873,normal,0d02a8,30.177841186523438,-95.4510498046875,146.91497480452978,173.96999119171855,12.029440000000001,XBCAF   ,False,False,False,,3665.2200000000003,3756.6600000000003,1645229872.112,1645229872.305,1.183000087738037,84.47483535703711,7874.008405508666,-0.010578662168878643,10,,0.5000000000000001,1.0369999408721924,13440.51254502184,1.0862691908272571e-05
7,1645229874,normal,0d02a8,30.177841186523438,-95.4510498046875,146.91497480452978,173.96999119171855,12.029440000000001,XBCAF   ,False,False,False,,3665.2200000000003,3756.6600000000003,1645229872.112,1645229873.354,1.0490000247955322,84.47483535703711,7874.008405508666,-0.010595681140688953,10,,0.5680916070772503,1.0369999408721924,13440.51254502184,8.928293384008254e-07
8,1645229875,normal,0d02a8,30.177841186523438,-95.4510498046875,146.91497480452978,173.96999119171855,12.029440000000001,XBCAF   ,False,False,False,,3665.2200000000003,3756.6600000000003,1645229872.112,1645229873.354,0.0,84.47483535703711,7874.008405508666,-0.01072891168893631,10,,0.617990912428839,1.0369999408721924,13440.51254502184,-7.715479133690338e-05
9,1645229876,normal,0d02a8,30.177841186523438,-95.4510498046875,146.91497480452978,173.96999119171855,12.029440000000001,XBCAF   ,False,False,False,,3665.2200000000003,3756.6600000000003,1645229872.112,1645229873.354,0.0,84.47483535703711,7874.008405508666,-0.01072891168893631,10,,0.5647542924199762,1.0369999408721924,13440.51254502184,-7.715479133690338e-05
10,1645229877,normal,0d02a8,30.177841186523438,-95.4510498046875,147.42658229706743,173.99099404250546,12.029440000000001,XBCAF   ,False,False,False,,3665.2200000000003,3756.6600000000003,1645229872.112,1645229876.307,2.9529998302459717,84.47483535703711,7874.008405508666,-0.010353859470577488,10,0.999399995803833,0.5232642972780344,1.0369999408721924,13440.51254502184,0.0001425540791659345
11,1645229878,normal,0d02a8,30.169921875,-95.45008042279412,147.42658229706743,173.99099404250546,11.704320000000001,XBCAF   ,False,False,False,,3733.8,3756.6600000000003,1645229877.89,1645229877.89,1.5830001831054688,84.47483535703711,7874.008405508666,-0.01052785927970313,10,1.1577000141143798,0.6403440763535223,1.0369999408721924,13440.51254502184,4.062346881522063e-05
12,1645229879,normal,0d02a8,30.168869018554688,-95.44991885914521,147.42658229706743,173.99099404250546,11.704320000000001,XBCAF   ,False,False,False,,3749.04,3756.6600000000003,1645229878.655,1645229878.655,0.7649998664855957,84.47483535703711,7874.008405508666,-0.010631751203510299,10,1.2342000007629395,0.7027986916540521,1.0369999408721924,13440.51254502184,-2.0237329006276724e-05
13,1645229880,normal,0d02a8,30.168869018554688,-95.44991885914521,147.42658229706743,173.99099404250546,11.704320000000001,XBCAF   ,False,False,False,,3749.04,3756.6600000000003,1645229878.655,1645229878.655,0.0,84.47483535703711,7874.008405508666,-0.01072891168893631,10,1.2342000007629395,0.7162430700503228,1.0369999408721924,13440.51254502184,-7.715479133690338e-05
14,1645229881,normal,0d02a8,30.166259765625,-95.44959573184741,147.9382094627032,174.01185162422448,11.3792,XBCAF   ,False,False,False,,3771.9,3840.48,1645229880.999,1645229880.999,2.3440001010894775,84.47483535703711,7874.008405508666,-0.010431206816507083,10,1.4686000108718873,0.6749554387389846,1.0369999408721924,13440.51254502184,9.724332727931406e-05
15,1645229882,normal,0d02a8,30.166259765625,-95.44959573184741,147.9382094627032,174.01185162422448,11.3792,XBCAF   ,False,False,False,,3771.9,3840.48,1645229880.999,1645229880.999,0.0,84.47483535703711,7874.008405508666,-0.01072891168893631,10,0.9877000093460083,0.7481086470085638,1.0369999408721924,13440.51254502184,-7.715479133690338e-05
16,1645229883,normal,0d02a8,30.166259765625,-95.44959573184741,148.44985609802924,174.03256543336994,10.72896,XBCAF   ,False,False,False,,3771.9,3870.96,1645229880.999,1645229882.904,1.9049999713897705,84.47483535703711,7874.008405508666,-0.0104869629905567,10,1.0598999977111816,0.7096244156537608,1.0369999408721924,13440.51254502184,6.458087276136445e-05
17,1645229884,normal,0d02a8,30.166259765625,-95.44959573184741,148.50422076797307,173.83515821776456,11.3792,XBCAF   ,False,False,False,,3771.9,3863.34,1645229880.999,1645229883.894,0.9900000095367432,84.47483535703711,7874.008405508666,-0.010603174566993745,10,1.0539999961853028,0.7655174132010742,1.0369999408721924,13440.51254502184,-3.4968853440680186e-06
18,1645229885,normal,0d02a8,30.166259765625,-95.44959573184741,148.50422076797307,173.83515821776456,11.3792,XBCAF   ,False,False,False,,3771.9,3863.34,1645229880.999,1645229883.894,0.0,84.47483535703711,7874.008405508666,-0.01072891168893631,10,1.0539999961853028,0.7869484396322385,1.0369999408721924,13440.51254502184,-7.715479133690338e-05
19,1645229886,normal,0d02a8,30.166259765625,-95.44959573184741,148.50422076797307,173.83515821776456,11.05408,XBCAF   ,False,False,False,,3771.9,3870.96,1645229880.999,1645229885.084,1.190000057220459,84.47483535703711,7874.008405508666,-0.010577773122405989,10,1.1730000019073485,0.751950420060432,1.0369999408721924,13440.51254502184,1.138350310940601e-05
20,1645229887,normal,0d02a8,30.166259765625,-95.44959573184741,148.50422076797307,173.83515821776456,11.05408,XBCAF   ,False,False,False,,3771.9,3870.96,1645229880.999,1645229885.084,0.0,84.47483535703711,7874.008405508666,-0.01072891168893631,10,0.8777000188827515,0.7808805176501665,1.0369999408721924,13440.51254502184,-7.715479133690338e-05
21,1645229888,normal,0d02a8,30.166259765625,-95.44959573184741,148.50422076797307,173.83515821776456,11.05408,XBCAF   ,False,False,False,,3771.9,3870.96,1645229880.999,1645229885.084,0.0,84.47483535703711,7874.008405508666,-0.01072891168893631,10,0.7194000005722045,0.7497643202065759,1.0369999408721924,13440.51254502184,-7.715479133690338e-05
22,1645229889,normal,0d02a8,30.166259765625,-95.44959573184741,149.12932100759224,173.46336635120292,12.354560000000001,XBCAF   ,False,False,False,,3771.9,3870.96,1645229880.999,1645229888.099,3.0149998664855957,84.47483535703711,7874.008405508666,-0.010345985020030006,10,0.9444000005722046,0.7220940569128583,1.0369999408721924,13440.51254502184,0.00014716700118300356
23,1645229890,normal,0d02a8,30.154305150953387,-95.4481201171875,149.12932100759224,173.46336635120292,12.354560000000001,XBCAF   ,False,False,False,,3878.5800000000004,3870.96,1645229889.798,1645229889.798,1.6990001201629639,84.47483535703711,7874.008405508666,-0.010513126453348964,10,1.114300012588501,0.7690915632886133,1.0369999408721924,13440.51254502184,4.9254087377491134e-05
24,1645229891,normal,0d02a8,30.15300168829449,-95.44795532226561,149.18876,173.26707867314042,11.704320000000001,XBCAF   ,False,False,False,,3886.2000000000003,3977.6400000000003,1645229890.558,1645229890.558,0.7599999904632568,84.47483535703711,7874.008405508666,-0.010632386223727535,10,0.955900001525879,0.8055579404046461,1.0369999408721924,13440.51254502184,-2.0609329404742983e-05
25,1645229892,normal,0d02a8,30.15169822563559,-95.44773559570312,149.18876,173.26707867314042,13.004800000000001,XBCAF   ,False,False,False,,3901.44,4000.5,1645229891.6,1645229891.693,1.1349999904632568,84.47483535703711,7874.008405508666,-0.010584758526480819,10,1.0694000005722046,0.8133981398458313,1.0369999408721924,13440.51254502184,7.291392293470398e-06
26,1645229893,normal,0d02a8,30.150348210738876,-95.44757080078125,149.18876,173.26707867314042,13.004800000000001,XBCAF   ,False,False,False,,3909.0600000000004,4000.5,1645229892.472,1645229892.472,0.7789998054504395,84.47483535703711,7874.008405508666,-0.010629973110564992,10,0.9567999839782715,0.8341046535316071,1.0369999408721924,13440.51254502184,-1.9195706604009846e-05
27,1645229894,normal,0d02a8,30.148718882415253,-95.44735107421876,149.18876,173.26707867314042,13.655040000000001,XBCAF   ,False,False,False,,3924.3,4008.1200000000003,1645229893.727,1645229893.727,1.255000114440918,84.47483535703711,7874.008405508666,-0.010569517647615816,10,0.983299994468689,0.8424013931514517,1.0369999408721924,13440.51254502184,1.6219632461075267e-05
28,1645229895,normal,0d02a8,30.148718882415253,-95.44735107421876,149.18876,173.26707867314042,13.655040000000001,XBCAF   ,False,False,False,,3924.3,4008.1200000000003,1645229893.727,1645229893.727,0.0,84.47483535703711,7874.008405508666,-0.01072891168893631,10,0.983299994468689,0.8656177967258457,1.0369999408721924,13440.51254502184,-7.715479133690338e-05
29,1645229896,normal,0d02a8,30.146065404859637,-95.44696655273438,149.18876,173.26707867314042,13.329920000000001,XBCAF   ,False,False,False,,3954.78,4023.36,1645229895.969,1645229895.969,2.242000102996826,84.47483535703711,7874.008405508666,-0.010444161549915941,10,1.0884999990463258,0.838869617984934,1.0369999408721924,13440.51254502184,8.965433111931043e-05
30,1645229897,normal,0d02a8,30.146065404859637,-95.44696655273438,149.18876,173.26707867314042,13.329920000000001,XBCAF   ,False,False,False,,3954.78,4023.36,1645229895.969,1645229895.969,0.0,84.47483535703711,7874.008405508666,-0.01072891168893631,10,1.0884999990463258,0.8742176149193566,1.0369999408721924,13440.51254502184,-7.715479133690338e-05
31,1645229898,normal,0d02a8,30.146065404859637,-95.44696655273438,149.18876,173.26707867314042,13.329920000000001,XBCAF   ,False,False,False,,3954.78,4023.36,1645229895.969,1645229895.969,0.0,84.47483535703711,7874.008405508666,-0.01072891168893631,10,1.0884999990463258,0.8487803965697625,1.0369999408721924,13440.51254502184,-7.715479133690338e-05
32,1645229899,normal,0d02a8,30.146065404859637,-95.44696655273438,149.18876,173.26707867314042,14.305280000000002,XBCAF   ,False,False,False,,3954.78,4061.46,1645229895.969,1645229898.862,2.8929998874664307,84.47483535703711,7874.008405508666,-0.010361479894869553,10,1.0763000011444093,0.825441780877252,1.0369999408721924,13440.51254502184,0.00013808996795153263
33,1645229900,normal,0d02a8,30.146065404859637,-95.44696655273438,148.67787612346498,173.24383550513843,13.655040000000001,XBCAF   ,False,False,False,,4008.1200000000003,4107.18,1645229895.969,1645229899.845,0.9830000400543213,84.47483535703711,7874.008405508666,-0.0106040636134664,10,1.004699993133545,0.8551763058265769,1.0369999408721924,13440.51254502184,-4.017696545201458e-06
34,1645229901,normal,0d02a8,30.146065404859637,-95.44696655273438,148.67787612346498,173.24383550513843,14.305280000000002,XBCAF   ,False,False,False,,4030.98,4114.8,1645229895.969,1645229900.975,1.1299998760223389,84.47483535703711,7874.008405508666,-0.010585393576978928,10,1.0416999816894532,0.8675411024271983,1.0369999408721924,13440.51254502184,6.919374156203011e-06
35,1645229902,normal,0d02a8,30.146065404859637,-95.44696655273438,148.67787612346498,173.24383550513843,14.305280000000002,XBCAF   ,False,False,False,,4030.98,4114.8,1645229895.969,1645229900.975,0.0,84.47483535703711,7874.008405508666,-0.01072891168893631,10,0.9281999826431274,0.883367393587449,1.0369999408721924,13440.51254502184,-7.715479133690338e-05
36,1645229903,normal,0d02a8,30.146065404859637,-95.44696655273438,148.67787612346498,173.24383550513843,14.305280000000002,XBCAF   ,False,False,False,,4030.98,4114.8,1645229895.969,1645229900.975,0.0,84.47483535703711,7874.008405508666,-0.01072891168893631,10,0.8503000020980835,0.8611099434339238,1.0369999408721924,13440.51254502184,-7.715479133690338e-05
37,1645229904,normal,0d02a8,30.146065404859637,-95.44696655273438,148.67787612346498,173.24383550513843,14.305280000000002,XBCAF   ,False,False,False,,4076.7000000000003,4114.8,1645229895.969,1645229903.951,2.9760000705718994,84.47483535703711,7874.008405508666,-0.010350938274623236,10,1.0223999977111817,0.840454339446284,1.0369999408721924,13440.51254502184,0.00014426534131080314
38,1645229905,normal,0d02a8,30.146065404859637,-95.44696655273438,148.73927484022096,173.04704253182612,13.655040000000001,XBCAF   ,False,False,False,,4076.7000000000003,4183.38,1645229895.969,1645229904.655,0.7039999961853027,84.47483535703711,7874.008405508666,-0.010639498625789636,10,1.092799997329712,0.8648300745052262,1.0369999408721924,13440.51254502184,-2.477583675261162e-05
39,1645229906,normal,0d02a8,30.146065404859637,-95.44696655273438,148.73927484022096,173.04704253182612,13.980160000000001,XBCAF   ,False,False,False,,4076.7000000000003,4183.38,1645229895.969,1645229905.811,1.1560001373291016,84.47483535703711,7874.008405508666,-0.010582091356781984,10,0.9842000007629395,0.8685267093497369,1.0369999408721924,13440.51254502184,8.853843635671843e-06
40,1645229907,normal,0d02a8,30.13128662109375,-95.44496424057905,148.73927484022096,173.04704253182612,14.305280000000002,XBCAF   ,False,False,False,,4114.8,4183.38,1645229906.953,1645229906.953,1.1419999599456787,84.47483535703711,7874.008405508666,-0.010583869480008166,10,1.0983999967575073,0.882986143466447,1.0369999408721924,13440.51254502184,7.812203494603837e-06
41,1645229908,normal,0d02a8,30.129959106445312,-95.44474882238052,148.73927484022096,173.04704253182612,13.980160000000001,XBCAF   ,False,False,False,,4130.04,4221.4800000000005,1645229907.617,1645229907.947,0.9939999580383301,84.47483535703711,7874.008405508666,-0.010602666544763783,10,1.1977999925613403,0.8969451494608442,1.0369999408721924,13440.51254502184,-3.199281477534786e-06
42,1645229909,normal,0d02a8,30.12846865896451,-95.44454956054688,148.80242678351533,172.850414278885,13.655040000000001,XBCAF   ,False,False,False,,4145.280000000001,4244.34,1645229908.71,1645229908.71,0.7630000114440918,84.47483535703711,7874.008405508666,-0.010632005199484844,10,0.9848000049591065,0.9076039832223102,1.0369999408721924,13440.51254502184,-2.0386122070142776e-05
43,1645229910,normal,0d02a8,30.12716519630561,-95.44438476562499,148.80242678351533,172.850414278885,13.980160000000001,XBCAF   ,False,False,False,,4160.52,4251.960000000001,1645229909.957,1645229909.957,1.246999979019165,84.47483535703711,7874.008405508666,-0.010570533722356616,10,1.0111999988555909,0.9126149450661214,1.0369999408721924,13440.51254502184,1.5624406989207674e-05
44,1645229911,normal,0d02a8,30.12716519630561,-95.44438476562499,148.80242678351533,172.850414278885,13.655040000000001,XBCAF   ,False,False,False,,4175.76,4267.200000000001,1645229909.957,1645229910.869,0.9119999408721924,84.47483535703711,7874.008405508666,-0.010613081136741954,10,0.9894000053405761,0.9279714762443354,1.0369999408721924,13440.51254502184,-9.300240566071127e-06
45,1645229912,normal,0d02a8,30.124649047851562,-95.44399485868564,148.80242678351533,172.850414278885,13.329920000000001,XBCAF   ,False,False,False,,4183.38,4290.06,1645229911.6,1645229911.848,0.9790000915527344,84.47483535703711,7874.008405508666,-0.010604571635696362,10,1.0873000144958496,0.9364410059136535,1.0369999408721924,13440.51254502184,-4.31530041173469e-06
46,1645229913,normal,0d02a8,30.123321533203125,-95.44383329503677,148.80242678351533,172.850414278885,13.004800000000001,XBCAF   ,False,False,False,,4191.0,4297.68,1645229912.733,1645229912.932,1.0839998722076416,84.47483535703711,7874.008405508666,-0.010591235908325686,10,1.1957000017166137,0.9463133826192301,1.0369999408721924,13440.51254502184,3.4968853440680186e-06
47,1645229914,normal,0d02a8,30.121858241194385,-95.44361572265626,148.80242678351533,172.850414278885,12.354560000000001,XBCAF   ,False,False,False,,4206.24,4320.54,1645229913.731,1645229913.835,0.9030001163482666,84.47483535703711,7874.008405508666,-0.010614224179189152,10,0.9884000062942505,0.9582050750076895,1.0369999408721924,13440.51254502184,-9.969844831070617e-06
48,1645229915,normal,0d02a8,30.121858241194385,-95.44361572265626,148.80242678351533,172.850414278885,12.354560000000001,XBCAF   ,False,False,False,,4221.4800000000005,4328.160000000001,1645229913.731,1645229914.931,1.0959999561309814,84.47483535703711,7874.008405508666,-0.010589711811354922,10,1.0276000022888183,0.9662062155460124,1.0369999408721924,13440.51254502184,4.389714682468844e-06
49,1645229916,normal,0d02a8,30.12066650390625,-95.44345631318936,148.80242678351533,172.850414278885,12.029440000000001,XBCAF   ,False,False,False,,4229.1,4343.400000000001,1645229915.037,1645229915.974,1.0429999828338623,84.47483535703711,7874.008405508666,-0.010596443189174335,10,1.0162999868392943,0.978071819662562,1.0369999408721924,13440.51254502184,4.464146692004127e-07
50,1645229917,normal,0d02a8,30.11915821140095,-95.44323120117184,148.80242678351533,172.850414278885,12.029440000000001,XBCAF   ,False,False,False,,4244.34,4343.400000000001,1645229916.232,1645229916.521,0.5469999313354492,84.47483535703711,7874.008405508666,-0.010659438763273327,10,0.9567999839782715,0.9887988343924713,1.0369999408721924,13440.51254502184,-3.6456943728550864e-05
51,1645229918,normal,0d02a8,30.117854748742054,-95.44301147460936,149.3775656527565,172.67918508133548,11.3792,XBCAF   ,False,False,False,,4244.34,4366.26,1645229917.832,1645229917.832,1.311000108718872,84.47483535703711,7874.008405508666,-0.010562405245553713,10,0.9884999990463257,0.9875991560926545,1.0369999408721924,13440.51254502184,2.0386139808943903e-05
52,1645229919,normal,0d02a8,30.11515471894862,-95.442626953125,149.3775656527565,172.67918508133548,11.3792,XBCAF   ,False,False,False,,4267.2,4358.64,1645229918.657,1645229918.657,0.8250000476837158,84.47483535703711,7874.008405508666,-0.01062413074893736,10,0.9947000026702881,1.0025076904351438,1.0369999408721924,13440.51254502184,-1.5773200053073726e-05
53,1645229920,normal,0d02a8,30.114084017478813,-95.44246215820311,149.3775656527565,172.67918508133548,11.05408,XBCAF   ,False,False,False,,4274.820000000001,4389.120000000001,1645229919.523,1645229919.775,1.1180000305175781,84.47483535703711,7874.008405508666,-0.010586917643668816,10,0.9818000078201294,1.00839255494101,1.0369999408721924,13440.51254502184,6.026562556603315e-06
54,1645229921,normal,0d02a8,30.114084017478813,-95.44246215820311,149.887830351083,172.7042432213908,11.3792,XBCAF   ,False,False,False,,4290.06,4389.120000000001,1645229919.523,1645229920.863,1.0879998207092285,84.47483535703711,7874.008405508666,-0.010590727886095724,10,0.999399995803833,1.0200481144709623,1.0369999408721924,13440.51254502184,3.794489210601251e-06
55,1645229922,normal,0d02a8,30.111282348632812,-95.44205609489893,149.887830351083,172.7042432213908,12.029440000000001,XBCAF   ,False,False,False,,4305.3,4419.6,1645229921.567,1645229921.913,1.0500001907348633,84.47483535703711,7874.008405508666,-0.010595554112420807,10,1.006500005722046,1.0310635121082834,1.0369999408721924,13440.51254502184,9.6724360913498e-07
56,1645229923,normal,0d02a8,30.111282348632812,-95.44205609489893,149.887830351083,172.7042432213908,12.029440000000001,XBCAF   ,False,False,False,,4312.92,4427.22,1645229921.567,1645229922.691,0.7779998779296875,84.47483535703711,7874.008405508666,-0.010630100108552264,10,0.9759000062942504,1.0412966504081165,1.0369999408721924,13440.51254502184,-1.9270103135942874e-05
57,1645229924,normal,0d02a8,30.111282348632812,-95.44205609489893,149.3775656527565,172.67918508133548,12.679680000000001,XBCAF   ,False,False,False,,4328.16,4434.84,1645229921.567,1645229923.84,1.1489999294281006,84.47483535703711,7874.008405508666,-0.010582980433535512,10,1.0004999876022338,1.0458601253147806,1.0369999408721924,13440.51254502184,8.333014695737275e-06
58,1645229925,normal,0d02a8,30.111282348632812,-95.44205609489893,149.3775656527565,172.67918508133548,12.679680000000001,XBCAF   ,False,False,False,,4343.400000000001,4450.080000000001,1645229921.567,1645229924.712,0.871999979019165,84.47483535703711,7874.008405508666,-0.01061816141960333,10,0.9780999898910523,1.0575698822254458,1.0369999408721924,13440.51254502184,-1.2276314709005706e-05
59,1645229926,normal,0d02a8,30.10784912109375,-95.4415714039522,149.3775656527565,172.67918508133548,12.679680000000001,XBCAF   ,False,False,False,,4358.64,4450.080000000001,1645229925.097,1645229925.755,1.0430002212524414,84.47483535703711,7874.008405508666,-0.01059644315889346,10,0.9781000137329101,1.0641154928301655,1.0369999408721924,13440.51254502184,4.4643240800154124e-07
60,1645229927,normal,0d02a8,30.10784912109375,-95.4415714039522,149.3775656527565,172.67918508133548,13.655040000000001,XBCAF   ,False,False,False,,4366.26,4480.56,1645229925.097,1645229926.788,1.0329999923706055,84.47483535703711,7874.008405508666,-0.01059771325988968,10,1.0267000198364258,1.0738890111882882,1.0369999408721924,13440.51254502184,-2.976038665332323e-07
61,1645229928,normal,0d02a8,30.10784912109375,-95.4415714039522,149.3775656527565,172.67918508133548,13.980160000000001,XBCAF   ,False,False,False,,4381.5,4495.8,1645229925.097,1645229927.757,0.9689998626708984,84.47483535703711,7874.008405508666,-0.01060584173669258,10,0.9924999952316285,1.083401835659579,1.0369999408721924,13440.51254502184,-5.0593366862694635e-06
62,1645229929,normal,0d02a8,30.10784912109375,-95.4415714039522,149.3775656527565,172.67918508133548,13.980160000000001,XBCAF   ,False,False,False,,4396.74,4495.8,1645229925.097,1645229928.887,1.130000114440918,84.47483535703711,7874.008405508666,-0.010585393546698053,10,1.0230000019073486,1.091685767041935,1.0369999408721924,13440.51254502184,6.9193918950041396e-06
63,1645229930,normal,0d02a8,30.10128215207892,-95.44059448242189,148.933981366831,172.45766958606907,13.980160000000001,XBCAF   ,False,False,False,,4404.360000000001,4526.280000000001,1645229929.284,1645229929.415,0.5279998779296875,84.47483535703711,7874.008405508666,-0.010661851906716742,10,0.9639999866485596,1.1026031011854909,1.0369999408721924,13440.51254502184,-3.787058426808513e-05
64,1645229931,normal,0d02a8,30.0999321371822,-95.44037475585935,148.933981366831,172.45766958606907,13.980160000000001,XBCAF   ,False,False,False,,4419.6,4526.280000000001,1645229930.117,1645229930.443,1.0280001163482666,84.47483535703711,7874.008405508666,-0.010598348280106914,10,0.9580000162124633,1.1006348617636839,1.0369999408721924,13440.51254502184,-6.696042649994905e-07
65,1645229932,normal,0d02a8,30.0999321371822,-95.44037475585935,149.58205733868613,172.09283729704157,12.354560000000001,XBCAF   ,False,False,False,,4419.6,4541.52,1645229930.117,1645229931.921,1.4779999256134033,84.47483535703711,7874.008405508666,-0.010541195067635555,10,1.0007999897003175,1.1097849156027764,1.0369999408721924,13440.51254502184,3.2811247581815666e-05
66,1645229933,normal,0d02a8,30.09727865962659,-95.43993530273434,149.65369604735463,171.89775169299978,12.354560000000001,XBCAF   ,False,False,False,,4442.46,4564.38,1645229932.089,1645229932.796,0.875,84.47483535703711,7874.008405508666,-0.01061778039536064,10,1.0105000019073487,1.124194124582085,1.0369999408721924,13440.51254502184,-1.20531073744055e-05
67,1645229934,normal,0d02a8,30.095260620117188,-95.43963264016543,149.65369604735463,171.89775169299978,12.029440000000001,XBCAF   ,False,False,False,,4465.320000000001,4579.62,1645229933.614,1645229933.931,1.1349999904632568,84.47483535703711,7874.008405508666,-0.010584758526480819,10,1.0091000080108643,1.1303323861960628,1.0369999408721924,13440.51254502184,7.291392293470398e-06
68,1645229935,normal,0d02a8,30.095260620117188,-95.43963264016543,149.7270680566887,171.70285503016314,11.3792,XBCAF   ,False,False,False,,4472.9400000000005,4587.240000000001,1645229933.614,1645229934.986,1.0550000667572021,84.47483535703711,7874.008405508666,-0.010594919092203572,10,1.027400016784668,1.1408431273502937,1.0369999408721924,13440.51254502184,1.339244007601238e-06
