time,taxonomy,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,dropout_length,dropout_zscore,dropout_sma25
1645318099,normal,a8c313,35.43132019042969,-96.72042846679688,68.1866364375106,354.8055710922652,0.32512,N66399  ,False,False,False,,1219.2,1280.16,1645318098.731,1645318098.731,,,
1645318100,normal,a8c313,35.43165303893009,-96.72047716505983,68.14198689641447,355.23635830927384,0.65024,N66399  ,False,False,False,,1219.2,1280.16,1645318099.177,1645318099.773,1.0420000553131104,0.2779567506848824,
1645318101,normal,a8c313,35.43232727050781,-96.72054290771484,67.62933340443591,355.2001638860953,0.32512,N66399  ,False,False,False,,1219.2,1280.16,1645318100.219,1645318100.664,0.8910000324249268,0.2023245438446612,
1645318102,normal,a8c313,35.43315124511719,-96.72060012817384,67.62933340443591,355.2001638860953,0.32512,N66399  ,False,False,False,,1219.2,1280.16,1645318101.56,1645318101.56,0.8959999084472656,0.20482885907762655,
1645318103,normal,a8c313,35.43370133739407,-96.72065247880651,67.62933340443591,355.2001638860953,0.32512,N66399  ,False,False,False,,1219.2,1280.16,1645318102.606,1645318102.606,1.0460000038146973,0.2799602267548581,
1645318104,normal,a8c313,35.43402099609375,-96.7207145690918,67.62933340443591,355.2001638860953,0.32512,N66399  ,False,False,False,,1219.2,1280.16,1645318103.053,1645318103.5,0.8940000534057617,0.20382718075164716,
1645318105,normal,a8c313,35.435191009004235,-96.72082779255317,67.62933340443591,355.2001638860953,0.65024,N66399  ,False,False,False,,1219.2,1280.16,1645318104.987,1645318104.987,1.4869999885559082,0.5008462996475778,
1645318106,normal,a8c313,35.435191009004235,-96.72082779255317,67.62933340443591,355.2001638860953,0.65024,N66399  ,False,False,False,,1219.2,1280.16,1645318104.987,1645318105.581,0.5940001010894775,0.05356456481520103,
1645318107,normal,a8c313,35.43608093261719,-96.72088623046876,67.11670731288787,355.1634165542647,0.65024,N66399  ,False,False,False,,1219.2,1280.16,1645318106.489,1645318106.638,1.056999921798706,0.2854698158017954,
1645318108,normal,a8c313,35.43672723285222,-96.72100310629986,67.11670731288787,355.1634165542647,0.32512,N66399  ,False,False,False,,1219.2,1280.16,1645318107.528,1645318107.528,0.8900001049041748,0.2018237046816715,
1645318109,normal,a8c313,35.437332411943856,-96.7210615442154,67.11670731288787,355.1634165542647,0.32512,N66399  ,False,False,False,,1219.2,1280.16,1645318108.571,1645318108.571,1.0429999828338623,0.2784575898478721,
1645318110,normal,a8c313,35.437937591035485,-96.72111998213096,67.11670731288787,355.1634165542647,0.0,N66399  ,False,False,False,,1219.2,1280.16,1645318109.616,1645318109.616,1.0449998378753662,0.27945926817385147,
1645318111,normal,a8c313,35.438542770127114,-96.72117842004656,67.11670731288787,355.1634165542647,0.0,N66399  ,False,False,False,,1219.2,1280.16,1645318110.519,1645318110.519,0.9030001163482666,0.20833509147260512,
1645318112,normal,a8c313,35.43914794921875,-96.72123685796208,67.11670731288787,355.1634165542647,0.0,N66399  ,False,False,False,,1219.2,1280.16,1645318111.562,1645318111.71,1.190999984741211,0.35258715978110733,
1645318113,normal,a8c313,35.43952036712129,-96.72129529587768,67.11670731288787,355.1634165542647,0.0,N66399  ,False,False,False,,1219.2,1280.16,1645318112.156,1645318112.602,0.8919999599456787,0.20282538300765088,
1645318114,normal,a8c313,35.440125546212926,-96.7213537337932,67.11670731288787,355.1634165542647,0.32512,N66399  ,False,False,False,,1219.2,1280.16,1645318113.2,1645318113.646,1.0439999103546143,0.27895842901086176,
1645318115,normal,a8c313,35.441253662109375,-96.7214584350586,67.11670731288787,355.1634165542647,0.0,N66399  ,False,False,False,,1219.2,1280.16,1645318114.985,1645318114.985,1.3389999866485596,0.42671672971434255,
1645318116,normal,a8c313,35.441253662109375,-96.7214584350586,67.07529124284143,355.6012946450045,0.0,N66399  ,False,False,False,,1219.2,1280.16,1645318114.985,1645318115.581,0.5960001945495605,0.05456636255919732,
1645318117,normal,a8c313,35.44184875488281,-96.72151565551758,67.07529124284143,355.6012946450045,0.0,N66399  ,False,False,False,,1219.2,1280.16,1645318116.027,1645318116.621,1.0399999618530273,0.2769549529408861,
1645318118,normal,a8c313,35.44277902376854,-96.72158748545542,67.03779751273468,356.0396881695416,0.32512,N66399  ,False,False,False,,1219.2,1280.16,1645318117.516,1645318117.964,1.3429999351501465,0.42872020578431824,
1645318119,normal,a8c313,35.44331359863281,-96.72163009643556,67.03779751273468,356.0396881695416,0.32512,N66399  ,False,False,False,,1219.2,1280.16,1645318118.558,1645318118.558,0.5940001010894775,0.05356456481520103,
1645318120,normal,a8c313,35.4439893819518,-96.72170436128658,67.00423270706936,356.47854662307776,-0.32512,N66399  ,False,False,False,,1219.2,1280.16,1645318119.599,1645318119.599,1.0409998893737793,0.2774557921038758,
1645318121,normal,a8c313,35.44482732223252,-96.72176279920212,66.97460273287228,356.91781917547183,-0.32512,N66399  ,False,False,False,,1219.2,1280.16,1645318120.947,1645318120.947,1.3480000495910645,0.4312246404353005,
1645318122,normal,a8c313,35.44482732223252,-96.72176279920212,66.97460273287228,356.91781917547183,-0.32512,N66399  ,False,False,False,,1219.2,1280.16,1645318120.947,1645318121.541,0.5939998626708984,0.0535644453971841,
1645318123,normal,a8c313,35.44589802370233,-96.7218212371177,66.94891281452819,357.35745470593525,-0.32512,N66399  ,False,False,False,,1219.2,1280.16,1645318122.735,1645318122.735,1.194000005722046,0.3540897966880933,
1645318124,normal,a8c313,35.446563720703125,-96.72185897827148,66.94891281452819,357.35745470593525,0.0,N66399  ,False,False,False,,1219.2,1280.16,1645318123.777,1645318123.777,1.0420000553131104,0.2779567506848824,1.0018400001525878
1645318125,normal,a8c313,35.446563720703125,-96.72185897827148,66.94891281452819,357.35745470593525,0.0,N66399  ,False,False,False,,1219.2,1280.16,1645318123.777,1645318123.777,0.0,-0.24395551266173623,0.9601599979400635
1645318126,normal,a8c313,35.446563720703125,-96.72185897827148,66.94891281452819,357.35745470593525,0.0,N66399  ,False,False,False,,1219.2,1280.16,1645318123.777,1645318123.777,0.0,-0.24395551266173623,0.9245199966430664
1645318127,normal,a8c313,35.446563720703125,-96.72185897827148,66.94891281452819,357.35745470593525,0.0,N66399  ,False,False,False,,1219.2,1280.16,1645318123.777,1645318123.777,0.0,-0.24395551266173623,0.8886800003051758
1645318128,normal,a8c313,35.4486911579714,-96.7219381129488,66.94891281452819,357.35745470593525,0.0,N66399  ,False,False,False,,1219.2,1280.16,1645318127.495,1645318127.495,3.7179999351501465,1.6182994376930435,0.9955599975585937
1645318129,normal,a8c313,35.4486911579714,-96.7219381129488,66.97460273287228,356.91781917547183,0.0,N66399  ,False,False,False,,1219.2,1280.16,1645318127.495,1645318128.091,0.5960001945495605,0.05456636255919732,0.9836400032043457
