,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
4800400,1645632019,a2635d,33.42553090240995,-112.01957235530931,2.057776,0.0,0.0,,False,False,False,,342.90000000000003,,1645632018.441,1645632018.441
4800401,1645632020,a2635d,33.42553090240995,-112.01957235530931,2.057776,0.0,0.0,,False,False,False,,342.90000000000003,,1645632018.441,1645632018.441
4800402,1645632021,a2635d,33.42553090240995,-112.01957235530931,2.057776,0.0,0.0,,False,False,False,,342.90000000000003,,1645632018.441,1645632018.441
4800403,1645632022,a2635d,33.42553090240995,-112.01957235530931,2.057776,0.0,0.0,,False,False,False,,342.90000000000003,,1645632018.441,1645632018.441
4800404,1645632023,a2635d,33.42562400688559,-112.01957235530931,2.057776,0.0,0.0,,False,False,False,,342.90000000000003,,1645632022.264,1645632022.937
4800405,1645632024,a2635d,33.42562400688559,-112.01957235530931,2.057776,0.0,0.0,N253HL  ,False,False,False,,342.90000000000003,,1645632022.264,1645632023.813
4800406,1645632025,a2635d,33.42562400688559,-112.01957235530931,2.057776,0.0,0.0,N253HL  ,False,False,False,,342.90000000000003,,1645632022.264,1645632023.813
4800407,1645632026,a2635d,33.42562400688559,-112.01957235530931,2.057776,0.0,0.0,N253HL  ,False,False,False,,342.90000000000003,,1645632022.264,1645632023.813
4800408,1645632027,a2635d,33.42562400688559,-112.01957235530931,2.057776,0.0,0.0,N253HL  ,False,False,False,,342.90000000000003,,1645632022.264,1645632026.608
4800409,1645632028,a2635d,33.42562400688559,-112.01957235530931,2.057776,0.0,0.0,N253HL  ,False,False,False,,342.90000000000003,,1645632022.264,1645632027.765
4800410,1645632029,a2635d,33.42562400688559,-112.01957235530931,2.057776,0.0,0.0,N253HL  ,False,False,False,,342.90000000000003,,1645632022.264,1645632028.729
4800411,1645632030,a2635d,33.42562400688559,-112.01957235530931,2.7703657240415027,291.8014094863518,0.0,N253HL  ,False,False,False,,342.90000000000003,312.42,1645632022.264,1645632029.82
4800412,1645632031,a2635d,33.42562400688559,-112.01957235530931,2.7703657240415027,291.8014094863518,0.0,N253HL  ,False,False,False,,342.90000000000003,312.42,1645632022.264,1645632029.82
4800413,1645632032,a2635d,33.42562400688559,-112.01957235530931,2.7703657240415027,291.8014094863518,0.0,N253HL  ,False,False,False,,342.90000000000003,312.42,1645632022.264,1645632029.82
4800414,1645632033,a2635d,33.42562400688559,-112.01957235530931,2.7703657240415027,291.8014094863518,0.0,N253HL  ,False,False,False,,342.90000000000003,312.42,1645632022.264,1645632029.82
4800415,1645632034,a2635d,33.42562400688559,-112.01957235530931,2.7703657240415027,291.8014094863518,0.0,N253HL  ,False,False,False,,342.90000000000003,312.42,1645632022.264,1645632029.82
4800416,1645632035,a2635d,33.42562400688559,-112.01957235530931,2.7703657240415027,291.8014094863518,0.0,N253HL  ,False,False,False,,342.90000000000003,312.42,1645632022.264,1645632029.82
4800417,1645632036,a2635d,33.42562400688559,-112.01957235530931,2.7703657240415027,291.8014094863518,0.0,N253HL  ,False,False,False,,342.90000000000003,312.42,1645632022.264,1645632029.82
4800418,1645632037,a2635d,33.42562400688559,-112.01957235530931,2.7703657240415027,291.8014094863518,0.0,N253HL  ,False,False,False,,342.90000000000003,312.42,1645632022.264,1645632029.82
4800419,1645632038,a2635d,33.42562400688559,-112.01957235530931,2.7703657240415027,291.8014094863518,0.0,N253HL  ,False,False,False,,342.90000000000003,312.42,1645632022.264,1645632029.82
4800420,1645632039,a2635d,33.42562400688559,-112.01957235530931,2.7703657240415027,291.8014094863518,0.0,N253HL  ,False,False,False,,342.90000000000003,312.42,1645632022.264,1645632029.82
4800421,1645632040,a2635d,33.42562400688559,-112.01957235530931,2.7703657240415027,291.8014094863518,0.0,N253HL  ,False,False,False,,342.90000000000003,312.42,1645632022.264,1645632029.82
4800422,1645632041,a2635d,33.42562400688559,-112.01957235530931,2.7703657240415027,291.8014094863518,0.0,N253HL  ,False,False,False,,342.90000000000003,312.42,1645632022.264,1645632029.82
4800423,1645632042,a2635d,33.42562400688559,-112.01957235530931,2.7703657240415027,291.8014094863518,0.0,N253HL  ,False,False,False,,342.90000000000003,312.42,1645632022.264,1645632029.82
