time,epoch_time,taxonomy,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
890,1645469742,normal,a0f7db,41.30957134699417,-79.08558238636363,41.69536090255587,260.7701137562723,-0.32512,N16105  ,False,False,False,,1097.28,1089.66,1645469741.658,1645469741.658
891,1645469743,normal,a0f7db,41.30950927734375,-79.08587646484375,41.69536090255587,260.7701137562723,-0.32512,N16105  ,False,False,False,,1097.28,1089.66,1645469742.224,1645469742.336
892,1645469744,normal,a0f7db,41.30950927734375,-79.08587646484375,41.1876602001347,260.6553280979003,0.0,N16105  ,False,False,False,,1097.28,1089.66,1645469742.224,1645469743.806
893,1645469745,normal,a0f7db,41.30950927734375,-79.08587646484375,41.1876602001347,260.6553280979003,0.32512,N16105  ,False,False,False,,1097.28,1089.66,1645469742.224,1645469744.83
894,1645469746,normal,a0f7db,41.30928039550781,-79.08758544921875,41.1876602001347,260.6553280979003,0.97536,N16105  ,False,False,False,,1097.28,1089.66,1645469745.862,1645469745.862
895,1645469747,normal,a0f7db,41.30924548132945,-79.08807927911931,40.68012893277759,260.5376777919744,1.30048,N16105  ,False,False,False,,1097.28,1089.66,1645469746.873,1645469746.873
896,1645469748,normal,a0f7db,41.30919892909163,-79.08832896839488,40.68012893277759,260.5376777919744,1.30048,N16105  ,False,False,False,,1097.28,1089.66,1645469747.33,1645469747.33
897,1645469749,normal,a0f7db,41.30914306640625,-79.0887451171875,40.5987262639976,261.25383773744477,1.6256000000000002,N16105  ,False,False,False,,1097.28,1089.66,1645469748.227,1645469748.896
898,1645469750,normal,a0f7db,41.30905927237818,-79.08945257013494,40.09034069128034,261.14204123637165,1.30048,N16105  ,False,False,False,,1097.28,1089.66,1645469749.692,1645469749.918
899,1645469751,normal,a0f7db,41.30905927237818,-79.08945257013494,40.09034069128034,261.14204123637165,1.30048,N16105  ,False,False,False,,1097.28,1089.66,1645469749.692,1645469749.918
900,1645469752,normal,a0f7db,41.30905927237818,-79.08945257013494,39.94484573835458,262.6004053401129,0.97536,N16105  ,False,False,False,,1097.28,1097.28,1645469749.692,1645469751.362
901,1645469753,normal,a0f7db,41.30905927237818,-79.08945257013494,39.94484573835458,262.6004053401129,0.0,N16105  ,False,False,False,,1097.28,1097.28,1645469749.692,1645469752.839
902,1645469754,normal,a0f7db,41.30891418457031,-79.0911865234375,39.88185428371354,263.33334010909863,-0.32512,N16105  ,False,False,False,,1097.28,1097.28,1645469753.403,1645469753.862
903,1645469755,normal,a0f7db,41.30887306342691,-79.09182461825287,39.88185428371354,263.33334010909863,-0.32512,N16105  ,False,False,False,,1097.28,1097.28,1645469754.654,1645469754.654
904,1645469756,normal,a0f7db,41.30882651118909,-79.09207430752843,40.28789612887583,264.87180895814714,0.65024,N16105  ,False,False,False,,1097.28,1097.28,1645469755.217,1645469755.779
905,1645469757,normal,a0f7db,41.30877995895127,-79.09282337535512,40.24517474570486,265.6012946450045,0.65024,N16105  ,False,False,False,,1097.28,1097.28,1645469756.796,1645469756.796
906,1645469758,normal,a0f7db,41.30877685546875,-79.09326171875,40.20899042990043,266.33221194446855,0.97536,N16105  ,False,False,False,,1097.28,1097.28,1645469757.812,1645469757.812
907,1645469759,normal,a0f7db,41.30873340671345,-79.0937597101385,39.73226563885125,265.54439716667366,1.30048,N16105  ,False,False,False,,1097.28,1097.28,1645469758.725,1645469758.84
908,1645469760,normal,a0f7db,41.30873107910156,-79.09429931640625,39.695613786358614,266.2847108945712,0.97536,N16105  ,False,False,False,,1097.28,1097.28,1645469759.854,1645469759.854
909,1645469761,normal,a0f7db,41.30868685447563,-79.09457120028412,39.1822651414889,266.23596513509426,0.97536,N16105  ,False,False,False,,1097.28,1097.28,1645469760.418,1645469760.418
910,1645469762,normal,a0f7db,41.30863952636719,-79.09503173828125,39.21939673858373,265.4860115419987,0.97536,N16105  ,False,False,False,,1097.28,1104.8999999999999,1645469761.492,1645469761.606
911,1645469763,normal,a0f7db,41.30863952636719,-79.095703125,39.21939673858373,265.4860115419987,0.65024,N16105  ,False,False,False,,1097.28,1104.8999999999999,1645469762.968,1645469762.968
912,1645469764,normal,a0f7db,41.30863952636719,-79.095703125,38.70656964313547,265.4260787400991,0.65024,N16105  ,False,False,False,,1097.28,1104.8999999999999,1645469762.968,1645469763.98
913,1645469765,normal,a0f7db,41.30854797363281,-79.09661865234375,38.70656964313547,265.4260787400991,0.65024,N16105  ,False,False,False,,1097.28,1104.8999999999999,1645469764.892,1645469764.892
914,1645469766,normal,a0f7db,41.30854797363281,-79.09661865234375,38.70656964313547,265.4260787400991,0.65024,N16105  ,False,False,False,,1097.28,1104.8999999999999,1645469764.892,1645469764.892
915,1645469767,normal,a0f7db,41.30850064552436,-79.09756747159093,38.80217528895389,263.91147184580484,0.32512,N16105  ,False,False,False,,1097.28,1104.8999999999999,1645469766.833,1645469766.833
916,1645469768,normal,a0f7db,41.30850064552436,-79.09756747159093,38.80217528895389,263.91147184580484,0.97536,N16105  ,False,False,False,,1097.28,1104.8999999999999,1645469766.833,1645469767.512
917,1645469769,normal,a0f7db,41.30850064552436,-79.09756747159093,38.86010681727491,263.15722658736905,1.30048,N16105  ,False,False,False,,1097.28,1104.8999999999999,1645469766.833,1645469768.754
918,1645469770,normal,a0f7db,41.30841064453125,-79.09869384765625,38.86010681727491,263.15722658736905,1.30048,N16105  ,False,False,False,,1097.28,1104.8999999999999,1645469769.448,1645469769.448
919,1645469771,normal,a0f7db,41.30840754104873,-79.09900318492544,38.92475178859334,262.40535663140855,0.32512,N16105  ,False,False,False,,1097.28,1104.8999999999999,1645469770.022,1645469770.246
920,1645469772,normal,a0f7db,41.30831443657309,-79.09968983043325,38.92475178859334,262.40535663140855,0.32512,N16105  ,False,False,False,,1097.28,1104.8999999999999,1645469771.484,1645469771.596
921,1645469773,normal,a0f7db,41.30826788433527,-79.09993951970881,39.37093406117706,263.246425964469,0.32512,N16105  ,False,False,False,,1097.28,1112.52,1645469772.044,1645469772.84
922,1645469774,normal,a0f7db,41.30822133209745,-79.10081343217331,39.43474164747547,262.5041423602701,0.65024,N16105  ,False,False,False,,1097.28,1112.52,1645469773.972,1645469773.972
923,1645469775,normal,a0f7db,41.308135986328125,-79.10125732421875,39.94484573835458,262.6004053401129,1.30048,N16105  ,False,False,False,,1097.28,1112.52,1645469774.967,1645469774.967
924,1645469776,normal,a0f7db,41.308135986328125,-79.10125732421875,39.88185428371354,263.33334010909863,2.27584,N16105  ,False,False,False,,1097.28,1112.52,1645469774.967,1645469775.756
925,1645469777,normal,a0f7db,41.308081675384,-79.10193703391337,39.94484573835458,262.6004053401129,1.95072,N16105  ,False,False,False,,1097.28,1112.52,1645469776.44,1645469776.777
926,1645469778,normal,a0f7db,41.30804443359375,-79.10247802734375,39.94484573835458,262.6004053401129,2.27584,N16105  ,False,False,False,,1097.28,1112.52,1645469777.48,1645469777.48
927,1645469779,normal,a0f7db,41.30799865722656,-79.10302734375,40.45505974012428,262.69424046668917,2.60096,N16105  ,False,False,False,,1127.76,1120.14,1645469778.639,1645469778.879
928,1645469780,normal,a0f7db,41.307988570908364,-79.10324790261006,40.45505974012428,262.69424046668917,2.27584,N16105  ,False,False,False,,1127.76,1120.14,1645469779.104,1645469779.447
929,1645469781,normal,a0f7db,41.30789546643273,-79.10393454811788,40.965379546043216,262.7857379607932,1.95072,N16105  ,False,False,False,,1127.76,1120.14,1645469780.464,1645469780.464
